source,mode,run_id,run_family,target_request_rate,request_count,good_requests,request_throughput_reqs_per_sec,goodput_reqs_per_sec,output_token_throughput_tokens_per_sec,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns
calibrated,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_1__rps_0_25__seed_1,rate_sweep_near_knee,0.25,1000,1000,0.24965375244806096,0.24965375244806096,63.911360626703605,123572213.554,178500066.0,22524568.957,5817776470.208,6013418870.0
simulation,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_1__rps_0_25__seed_1,rate_sweep_near_knee,0.25,1000,1000,0.24965375244806137,0.24965375244806137,63.91136062670371,135302541.722,175933276.0,22534106.0,5828608018.509,5869141265.0
calibrated,pd_disaggregated,service_baseline_long_long__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.17493195879460008,0.17493195879460008,44.78258145141762,180848527.13333333,427187095.0,21811756.233333334,5693295851.533334,5946812251.0
simulation,pd_disaggregated,service_baseline_long_long__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.17493195879461665,0.17493195879461665,44.78258145142186,181850894.9,193215313.0,23266404.0,6059634714.666667,6071004668.0
calibrated,pd_disaggregated,service_baseline_long_short__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.9822034494137449,0.9822034494137449,15.715255190619919,184521763.93333334,422259280.0,24303059.3,498802063.3333333,744932739.0
simulation,pd_disaggregated,service_baseline_long_short__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.9822034494139663,0.9822034494139663,15.715255190623461,170930654.76666668,171081994.0,23266404.0,464777514.53333336,464904197.0
calibrated,pd_disaggregated,service_baseline_short_long__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.1786721022576428,0.1786721022576428,45.740058177956556,108614722.26666667,386456332.0,21566388.366666667,5573755519.733334,5853659735.0
simulation,pd_disaggregated,service_baseline_short_long__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.17867210225761557,0.17867210225761557,45.740058177949585,141128500.3,152515547.0,23266404.0,6018912320.066667,6030286787.0
calibrated,pd_disaggregated,service_baseline_short_short__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.9862585714608356,0.9862585714608356,15.78013714337337,120672686.23333333,409978404.0,23777352.5,432597459.96666664,731213786.0
simulation,pd_disaggregated,service_baseline_short_short__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.9862585714614275,0.9862585714614275,15.78013714338284,130392425.63333334,130543764.0,23266404.0,424239285.4,424365967.0
