case_name,architecture,assignment,chunk_size,request_rate_per_second,input_tokens,output_tokens,trace_num_requests,prefill_gpu_count,decode_gpu_count,colocated_gpu_count,scheduler_max_prefill_batch_tokens,pd_prefill_max_batch_tokens,ttft_mean_ms,tpot_mean_ms,e2e_mean_ms,e2e_p99_ms,slo_attainment_fraction,goodput_reqs_per_sec,output_token_throughput_tokens_per_sec,source_summary,request_config_path
c4__chunk_0256__rps_04__in_10000__out_2048,colocated_chunked,C4,256,4.0,10000,2048,256,,,4,256,,55714.12925321875,20.95187313926697,98594.7285924375,141188.813733,0.0,0.0,3032.1807692416496,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0256__rps_04__in_10000__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0256__rps_04__in_10000__out_2048/request.json
c4__chunk_0512__rps_04__in_00128__out_2048,colocated_chunked,C4,512,4.0,128,2048,256,,,4,512,,6536.781749195312,21.057510020874023,49633.72542194531,58658.661656,0.5,1.1091337036122184,4543.011649995647,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_00128__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_00128__out_2048/request.json
c4__chunk_0512__rps_04__in_00256__out_2048,colocated_chunked,C4,512,4.0,256,2048,256,,,4,512,,6599.777275093749,21.099464645874022,49782.64401984375,58853.762749999994,0.5,1.107862302715753,4537.803991923724,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_00256__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_00256__out_2048/request.json
c4__chunk_0512__rps_04__in_00512__out_2048,colocated_chunked,C4,512,4.0,512,2048,256,,,4,512,,6724.312213726562,21.183373895874023,50079.02510247656,59241.866814,0.5,1.1055157593902671,4528.192550462534,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_00512__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_00512__out_2048/request.json
c4__chunk_0512__rps_04__in_01024__out_2048,colocated_chunked,C4,512,4.0,1024,2048,256,,,4,512,,7434.228623921875,21.657582791748045,51760.12133142187,61501.038713999995,0.5,1.0925951089377655,4475.269566209087,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_01024__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_01024__out_2048/request.json
c4__chunk_0512__rps_04__in_01536__out_2048,colocated_chunked,C4,512,4.0,1536,2048,256,,,4,512,,8145.277566578125,22.13179168762207,53442.35009282812,63760.210613999996,0.5,1.0797940191772213,4422.836302549898,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_01536__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_01536__out_2048/request.json
c4__chunk_0512__rps_04__in_02048__out_2048,colocated_chunked,C4,512,4.0,2048,2048,256,,,4,512,,8857.30827775,22.605044517173766,55123.602598921876,66019.382514,0.5,1.0674642640892542,4372.333625709585,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_02048__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_02048__out_2048/request.json
c4__chunk_0512__rps_04__in_03072__out_2048,colocated_chunked,C4,512,4.0,3072,2048,256,,,4,512,,10284.153215289061,23.548681977310178,58483.01705482031,70610.30761399999,0.5,1.0434634983279476,4274.026489151273,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_03072__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_03072__out_2048/request.json
c4__chunk_0512__rps_04__in_04096__out_2048,colocated_chunked,C4,512,4.0,4096,2048,256,,,4,512,,11716.348260835937,24.491363371124265,61845.82359489844,75615.680777,0.5,1.0205182620455984,4180.042801338771,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_04096__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_04096__out_2048/request.json
c4__chunk_0512__rps_04__in_06144__out_2048,colocated_chunked,C4,512,4.0,6144,2048,256,,,4,512,,14696.631351578124,26.30215298561096,68534.60381610937,86082.003763,0.5,0.9767591621616447,4000.8055282140967,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_06144__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_06144__out_2048/request.json
